"species","Order","Class","exDiff","FemaleBM","MaleBM","Testes","FemaleAFB","MaleAFB","Monogamy","AnnProd","FemaleCare","DichroAves","weights"
"Calypte anna","Apodiformes","Aves",0.265421325802015,4.035,4.5,0.01,0.997218344,0.999315537,0,2.24,1,0.8,0.501740007047966
"Calypte costae","Apodiformes","Aves",0.0964751836065963,3.21,3,NA,0.85968514715948,0.832580424366872,NA,0.92,1,1.4,0.519635374099027
"Calyptomena viridis","Passeriformes","Aves",0.03155497275818,59.7681827872838,54.9057863092823,NA,NA,NA,NA,NA,1,0.6,0.425068829419578
"Capito niger","Piciformes","Aves",-0.279914312026347,54.9426806549436,57.2343898719183,0.23,NA,NA,NA,NA,0,1,0.496828707579212
"Cariama cristata","Cariamiformes","Aves",0.0378140726919146,1832.84950100377,2133.09032062895,NA,1.34045174537988,1.26379192334018,1,NA,1,0,0.576758584594725
"Catreus wallichi","Galliformes","Aves",-0.094430206850113,1305,1587.75,NA,0.98507871321013,1.05681040383299,1,302.4,1,0.8,0.607529612127461
"Centropus superciliosus","Cuculiformes","Aves",-0.229336371925369,167,153.125,NA,NA,NA,1,132,0,0,0.453691561422261
"Cereopsis novaehollandiae","Anseriformes","Aves",-0.0937829449482591,4242.31829865229,5203.90100596117,NA,2.00027378507871,1.88501026694045,1,580.88,1,0,0.663498587794815
"Chalcophaps indica","Columbiformes","Aves",-0.114527894616812,126.41786903905,133.345525413573,NA,0.820260095824778,0.778918548939083,NA,NA,0,0.8,0.727231998663252
"Chalcopsitta duivenbodei","Psittaciformes","Aves",-0.0730240849959687,217.664242000307,222.014235987164,NA,NA,4.80492813141684,NA,NA,NA,0,0.461504178305669
"Charadrius hiaticula","Charadriiformes","Aves",-0.129072316115363,64.75,63.5,0.4,0.997218344,0.999315537,1,76.3,0,0.6,0.449322787694811
"Charmosyna placentis","Psittaciformes","Aves",-0.307727167285144,45.4935280031055,38.409356095729,NA,1.63586584531143,1.56167008898015,NA,NA,NA,0.8,0.500673460475104
"Charmosyna papou","Psittaciformes","Aves",-0.0507369304313623,89.6223959667282,99.0105708562139,NA,1.8590006844627,2.08186173853525,NA,NA,NA,0,0.515291963021436
"Chenonetta jubata","Anseriformes","Aves",-0.00894186650859103,740.702746063768,739.048789285599,2.04,1.17453798767967,1.41656399726215,1,523.8,0,0.8,0.651890687512801
"Erythrura gouldiae","Passeriformes","Aves",-0.126690533039658,16.4055516537476,16.0451891647588,NA,0.677344284736482,0.745790554414784,NA,19.95,1,0.8,0.870303436985476
"Chloephaga melanoptera","Anseriformes","Aves",-0.0396077389351647,2074.76330520834,3007.93869373816,NA,3.0861054072553,3.35989048596852,1,828.666666629,0,0,0.50986590536881
"Chloephaga picta","Anseriformes","Aves",0.047497444566433,2333.88827567398,2802.72744579683,NA,2.55989048596851,2.43394934976044,NA,NA,1,1,0.612948336557335
"Chloephaga rubidiceps","Anseriformes","Aves",-0.0239486928562244,1297.57305131573,1447.57324269164,NA,1.92060232717317,1.96796714579055,NA,NA,0,0,0.478777355566316
"Carduelis chloris","Passeriformes","Aves",-0.0576220538298224,28.05,27.2,0.205,0.997218344,0.999315537,1,26.5825,1,1,0.484278116179694
"Chlorophanes spiza","Passeriformes","Aves",-0.236564792205878,19.5795662296046,16.7656143688426,NA,NA,NA,NA,NA,1,0.4,0.477679432254596
"Chloropsis hardwickii","Passeriformes","Aves",-0.0556304639712399,29.5,36,NA,NA,NA,NA,NA,NA,1.2,0.449796979579268
"Chrysolophus amherstiae","Galliformes","Aves",-0.0843331892035914,720.661672482668,766.49116475943,NA,1.02724161533196,1.02121834360027,0,241.025,1,1.8,0.657883307080924
"Chrysolophus pictus","Galliformes","Aves",-0.0373121186613359,596.755816820577,649.273839792909,NA,0.999315537303217,1.05133470225873,NA,233.625,1,2,0.785612691520969
"Ciconia ciconia","Ciconiiformes","Aves",0.0427358080441965,3016.90001411967,3647.69732639737,NA,3.91074606433949,3.0466803559206,1,440,1,0,0.755916832123787
