"species","Class","Order","exDiff","FemaleBM","MaleBM","FemaleAFB","MaleAFB","MS","ReprEff","CareMammals","CareAves","Dichro","weights"
"Rhea americana","Aves","Rheiformes",-0.0337855338475373,25942.4278018983,31861.389411968,2.11772758384668,1.97864476386037,"0",NA,NA,2,0.4,0.786223869901259
"Momotus momota","Aves","Coraciiformes",-0.0588048500813142,114.029040200878,128.539680930415,1.55290896646133,1.75277207392197,NA,NA,NA,NA,0,0.591980697434723
"Anas falcata","Aves","Anseriformes",0.0629844273881207,636.708283027785,716.632892293046,1.01300479123888,0.999315537303217,"1",392,NA,-2,1,0.63593512002831
"Bubo bubo","Aves","Strigiformes",-0.00556316095964087,2512.00865977261,1751.89489906389,2.0870636550308,1.95619438740589,"1",180,NA,-1,0,0.772686308563058
"Emblema pictum","Aves","Passeriformes",-0.129665547452427,12.7095360303671,12.0286447630555,NA,NA,"1",NA,NA,0,1,0.509813194590204
"Stagonopleura guttata","Aves","Passeriformes",-0.310989595875416,20.3987716216054,20.5795552602412,0.431485284052019,NA,"1",16.48,NA,0,0.4,0.576029142982218
"Neochmia phaeton","Aves","Passeriformes",0.0137717502185797,9.5,9,NA,NA,"1",NA,NA,-0.25,1,0.535533903123568
"Neochmia ruficauda","Aves","Passeriformes",-0.235152953223203,12.352842117632,12.3042846734081,0.757289527720739,0.826283367556468,"1",NA,NA,0,0.4,0.608458254624893
"Neochmia modesta","Aves","Passeriformes",-0.381661573234672,12.6978788027516,13.7694424805272,NA,NA,"1",NA,NA,0,0.4,0.517618537240169
"Taeniopygia guttata","Aves","Passeriformes",-0.111738427079604,13.5061638831246,14.1443506902519,0.177960301163587,0.162628336755647,"1",8.82,NA,-0.2,0.4,0.698644423033564
"Chenonetta jubata","Aves","Anseriformes",-0.00894186650859103,740.702746063768,739.048789285599,1.17453798767967,1.41656399726215,"1",523.8,NA,0,0.8,0.651890687512801
"Meleagris ocellata","Aves","Galliformes",0.0486123765019493,2518.5753644487,3908.62363955768,1.85927446954141,1.96522929500342,"0",NA,NA,NA,0.2,0.604523791207117
"Tetrao tetrix","Aves","Galliformes",-0.0489259023022002,927.5,1245.5,1.0403832991102,1.00780287474333,"0",284,NA,-2,1,0.563936998718513
"Tetrao urogallus","Aves","Galliformes",0.116955488548974,2017.3745793724,4375.68970679684,1.00752908966461,1.00396988364134,"0",424,NA,-2,0.2,0.628287137848451
"Aythya australis","Aves","Anseriformes",-0.0260563498615094,696.919644346865,763.354043451216,1.69281314168378,1.83928815879535,NA,660,NA,-2,0.2,0.612256509167053
"Icterus icterus","Aves","Passeriformes",0.141108360891949,65.384133780261,71.9253000745332,1.55838466803559,1.38590006844627,"1",NA,NA,NA,0,0.56930102017606
"Psarocolius viridis","Aves","Passeriformes",0.0486927301149331,223.5,389,NA,NA,"1",NA,NA,NA,0.8,0.454014808736758
"Rhea pennata","Aves","Rheiformes",0.0120410427490407,26997.5958754135,38049.5831556027,1.85023956194387,1.99972621492129,"0",NA,NA,2,0,0.598065128951315
"Dromaius novaehollandiae","Aves","Casuariiformes",-0.0699490490258702,42587.3523233834,38953.1063336588,2.82327173169062,2.24229979466119,"1",8281.7577781066,NA,2,-0.4,0.744850302836336
"Neophema pulchella","Aves","Psittaciformes",-0.127526013260668,38.6887639901949,39.3384750366088,0.823545516769336,0.751813826146475,"1",NA,NA,-1.33,0.8,0.585759962870549
"Egretta garzetta","Aves","Pelecaniformes",-0.0738882956688664,459.60313868868,529.705836955781,1.73032169746749,1.99315537303217,"1",112,NA,0,0,0.693984045242768
"Ocyphaps lophotes","Aves","Columbiformes",-0.0712270272317989,187.951538587765,193.849902453661,0.758384668035592,0.732101300479124,"1",NA,NA,0,0,0.672419671656314
"Chloephaga picta","Aves","Anseriformes",0.047497444566433,2333.88827567398,2802.72744579683,2.55989048596851,2.43394934976044,NA,NA,NA,-2,1,0.612948336557335
"Cyanochen cyanoptera","Aves","Anseriformes",-0.0846604815136515,1427.75131992864,2031.16097424399,2.0041067761807,1.73032169746749,NA,NA,NA,-2,0,0.57435711335561
"Bonasa umbellus","Aves","Galliformes",-0.17137467586429,498,585,0.91061191,0.328542094,"0",198,NA,-2,0.2,0.468556057957577
"Tympanuchus cupido","Aves","Galliformes",0.0057279399448207,758.368212268315,924.749100991434,0.900752908966461,0.892539356605065,"0",294,NA,-2,0.6,0.776758995260491
"Selenidera piperivora","Aves","Piciformes",-0.0573819769744775,139.162682114486,169.05172916568,NA,NA,NA,NA,NA,NA,0.8,0.474246244904262
"Ramphastos sulfuratus","Aves","Piciformes",-0.000901321142231266,444.82594194006,463.233300705926,1.75,2.83,"1",NA,NA,0,0,0.559723497452585
"Paroaria coronata","Aves","Passeriformes",-0.0679949953660272,42.1214235064695,47.6278186203973,0.882956878850103,1.88309377138946,"1",NA,NA,NA,0,0.577279528204997
"Sarcops calvus","Aves","Passeriformes",0.266973609297732,120.948011932692,NA,NA,NA,"1",NA,NA,NA,0,0.532656484613974
"Coturnix coturnix","Aves","Galliformes",-0.294938491324141,103,94,0.997218344,0.903490759753593,"0",105.6250000125,NA,-1.8,0.4,0.546939465823809
"Polyplectron germaini","Aves","Galliformes",-0.0850971703646406,397,510,NA,NA,NA,NA,NA,NA,0.8,0.484435944712854
"Polyplectron bicalcaratum","Aves","Galliformes",-0.307724141654183,420.130822759246,594.841633854208,1.00752908966461,1.03819301848049,"1",NA,NA,-2,1,0.632997897824418
"Grus paradisea","Aves","Gruiformes",0.215548586295431,4077.57291198698,4877.11898097088,4.11498973305955,3.96878850102669,NA,370,NA,NA,0,0.62778588654765
"Aythya novaeseelandiae","Aves","Anseriformes",-0.109997602204386,615.633161397753,614.930106696923,1.04859685147159,0.967008898015058,"1",409.5,NA,NA,0.4,0.579814829039222
"Paroaria gularis","Aves","Passeriformes",0.0489416928385347,31.9181162238997,30.2919253926268,1.16632443531828,0.969199178644764,NA,NA,NA,NA,0,0.54932865147821
"Sicalis flaveola","Aves","Passeriformes",-0.14388740379011,26.6203700239387,27.1638545217074,1.07624914442163,1.14661190965092,NA,NA,NA,NA,1.4,0.615241796391214
"Ducula bicolor","Aves","Columbiformes",-0.173154267829024,407.003141137582,445.04490677889,1.7056810403833,2.0517453798768,"1",NA,NA,0,0,0.720247768189676
"Coturnix japonica","Aves","Galliformes",-0.134644185778386,224.009862660997,169.860445680409,0.583802875,0.142368241,NA,NA,NA,-2,0.4,0.526409693989028
"Coturnix chinensis","Aves","Galliformes",-0.151468394131673,54.4811167261625,49.0367787087911,0.375633127994524,0.372347707049966,NA,NA,NA,-2,0,0.70903636794393
"Polyplectron malacense","Aves","Galliformes",0.0550984766616434,466.606728998819,594.153865907705,1.76865160848734,1.20136892539357,"0",NA,NA,-2,1,0.506236706863477
"Polyplectron napoleonis","Aves","Galliformes",-0.198700395656092,458.642383407408,550.625208794971,1.88911704312115,1.79603011635866,NA,NA,NA,-2,1.6,0.707958957733783
"Argusianus argus","Aves","Galliformes",0.104834847693355,1679.96252691479,2380.78438977544,3.03134839151266,3.00670773442847,"0",NA,NA,NA,1.2,0.631007835957421
"Afropavo congensis","Aves","Galliformes",-0.119942007751121,1234.71461061677,1566.33877030607,1.81984941820671,1.97563312799452,"1",NA,NA,0,0.2,0.631689413190534
"Megascops asio","Aves","Strigiformes",-0.0179799576241023,189.813504454483,164.340656406424,2.00136892539357,2.00136892539357,"1",73.525,NA,-0.43,0,0.620816049492056
"Aprosmictus erythropterus","Aves","Psittaciformes",-0.250363137183322,149.965752490459,143.607634424019,1.9902423,NA,"1",NA,NA,0,0.6,0.554442024439975
