"species","Class","Order","exFemale","exFemaleSD","exFemaleLower","exFemaleUpper","exMale","exMaleSD","exMaleLower","exMaleUpper","exDiff","exDiffSD","exDiffLower","exDiffUpper","zeroOverlap"
"Garrulax ocellatus","Aves","Passeriformes",8.04362314710138,0.802333931210616,6.59658107001915,9.5578409830899,8.91633098844472,0.983757677494547,7.22224319112327,10.9943504922484,-0.0903209114920386,0.127665221899039,-0.324047409165529,0.174807526158658,0.479266678570336
"Pycnonotus barbatus","Aves","Passeriformes",7.36871766648433,0.617325850605174,6.09898443653944,8.65601702860299,7.44466801850605,0.648849703512799,6.3804704877253,8.8048676157714,-0.00885103654455031,0.109152747582692,-0.234480746320142,0.200557723112217,0.935371542299927
"Tadorna variegata","Aves","Anseriformes",7.55028264533327,0.51836027253911,6.57846189742984,8.64833624139531,7.92359054281271,0.583982366749341,6.83743435053122,9.14134124644637,-0.0439750179844328,0.0931118010974564,-0.212923866430218,0.139866837438351,0.636725590657367
"Anas penelope","Aves","Anseriformes",8.28766904945403,0.306318342686562,7.6979586733099,8.89708985980359,9.34559847330953,0.33768068957683,8.70936573429858,10.029143341268,-0.112006678168731,0.0466670339108931,-0.201573857961705,-0.0170318525403444,0.0163895091697714
"Zosterops poliogastrus","Aves","Passeriformes",8.28006850798327,0.977128656688966,6.49218744485863,10.3153915322664,8.11194260113942,0.865770523915641,6.57184246271817,10.0550419886257,0.0166157763867674,0.141917698132924,-0.233271509935042,0.28217470914472,0.906796366440335
"Lonchura striata","Aves","Passeriformes",4.25730761666857,0.408858390339109,3.47464516115579,5.06586987527474,5.11532256396291,0.372399985459231,4.44658303688947,5.89793612431067,-0.163165892004465,0.102686861628202,-0.378088959388632,0.0281368838197092,0.112068156435752
"Glossopsitta porphyrocephala","Aves","Psittaciformes",3.57189564820196,0.289284859091316,3.04889088974947,4.14425782924114,4.4199659923928,0.360694366464052,3.77097928025112,5.16366822328184,-0.186983634675947,0.0888272244980791,-0.346585180378863,-0.00919996273441913,0.0352890276486715
"Burhinus capensis","Aves","Charadriiformes",11.4794467682423,0.779396892825055,10.0516797153611,13.0302651187248,10.6397895868223,0.734893610294805,9.29450138578788,12.0770758928959,0.0701371539242382,0.0840584425079731,-0.0892953863459516,0.234808543503102,0.404063729568962
"Irena puella","Aves","Passeriformes",5.36751132930655,0.209249158864484,4.9834161828216,5.75257298658808,5.03497985626894,0.204402651662728,4.60460409724171,5.41595881081106,0.0606802726000074,0.0525501272488784,-0.0434771221956215,0.157835665042099,0.248208305342545
"Pteronetta hartlaubii","Aves","Anseriformes",8.56311703044457,0.998972455527806,6.90140662291106,10.7155186591183,7.06257233014823,0.742119597601191,5.83055804644241,8.72352976167934,0.165690860544916,0.124487156258938,-0.114479271761352,0.372833707388256,0.183193093179141
"Caloenas nicobarica","Aves","Columbiformes",14.1255468073485,0.388648075435054,13.4162575099853,14.9021804598787,15.7163662222886,0.375532516384686,15.0511517510434,16.5369817694586,-0.100731594780079,0.0321324112114779,-0.158358009662905,-0.0360628371639395,0.00171918195092147
"Bonasa bonasia","Aves","Galliformes",3.64291955412228,0.408989243819153,2.98884477555631,4.60401627715783,3.00097402734507,0.254366052553209,2.51400659061948,3.53010105360385,0.167039337053969,0.111419710612384,-0.0506874480897762,0.370926337797647,0.133824299419655
"Cacatua haematuropygia","Aves","Psittaciformes",10.4596508672906,1.38639352346485,7.94011383318386,13.3745862879306,12.7740796615776,1.3086858059926,10.3257311684577,15.5333847369486,-0.174063922470693,0.13403965683207,-0.410871173427601,0.132366024922649,0.194081176226751
"Garrulax leucolophus","Aves","Passeriformes",8.30615798503627,0.519143080109831,7.28990877317586,9.32982444180502,10.1536402392492,0.629215218383716,8.83924625774519,11.3637571622081,-0.178851372853081,0.0717414694334596,-0.317625399210157,-0.0305833101439452,0.0126669395456058
"Sericulus chrysocephalus","Aves","Passeriformes",9.39821195914312,1.35035043282717,7.21080374465701,12.4435960743753,9.00320409826412,0.942828113974393,7.17516357529924,11.1197924307729,0.0337366182190713,0.149790093858109,-0.262651295597339,0.315149311201993,0.82180349229429
"Coscoroba coscoroba","Aves","Anseriformes",9.71382020820911,0.652654796352574,8.49020213169301,10.9691383890688,9.5606948108801,0.451077314686968,8.65083030592153,10.4508199446992,0.0137763335934314,0.0794496684708357,-0.13377940104656,0.161884026818365,0.862339388685727
"Gallus gallus","Aves","Galliformes",5.56549372574477,0.165649559829447,5.25875366757727,5.90770586544781,6.11317611452856,0.254503267378163,5.67488179512678,6.70929092386605,-0.0880701432856345,0.0461512275826847,-0.176446957693243,0.00506454962123819,0.0563531368260728
"Garrulax canorus","Aves","Passeriformes",6.95488288554004,0.810683936335916,5.57347965742938,8.76896133141794,7.37944753138347,0.732864931287746,6.09266637772765,8.96953327258,-0.0543646065066574,0.13147273331137,-0.301266039782513,0.206805537054866,0.679236805205801
"Garrulax chinensis","Aves","Passeriformes",7.04930920742102,0.78282782299794,5.69489120731452,8.70481768591186,8.24481529341619,0.919555559493659,6.57340959182241,10.2011524912794,-0.135944747652364,0.132704491755822,-0.370517936480158,0.140656866657692,0.305638319016958
"Garrulax courtoisi","Aves","Passeriformes",9.49361977154612,0.5876063466176,8.40721751988388,10.6257676955358,9.75670710138832,0.503823612724508,8.80021480445999,10.790326877131,-0.0262991125995409,0.0765359375727174,-0.159844194245424,0.132124195043267,0.731133715777615
"Amazona viridigenalis","Aves","Psittaciformes",20.8666529720241,1.40977001065163,18.4855788933357,23.9177346839181,21.026731571239,1.31370286271002,18.4252214304954,23.6697158827076,-0.00757046742640002,0.0842808270235907,-0.164142337129499,0.166050302572899,0.928426826928407
"Porphyrio porphyrio","Aves","Gruiformes",7.67281743290111,0.696820565860147,6.41863292843686,9.10753749464629,7.98570125021492,0.796693650658138,6.61763898449159,9.75200164755957,-0.0353112854399808,0.117713929694516,-0.26782612015029,0.188775769185318,0.764195905104911
"Phaps elegans","Aves","Columbiformes",6.3602947188418,0.426028697070982,5.58775214847177,7.22930780580153,7.62523419646205,0.506582634586705,6.72487357972682,8.68647124675532,-0.162313010517725,0.0781624689259621,-0.304925746523349,0.00492972110132849,0.0378375149239638
"Entomyzon cyanotis","Aves","Passeriformes",10.8750975230827,0.659953691136382,9.73526462453059,12.2325050996365,13.6711058179901,0.760357154157904,12.2409478731944,15.2541432795416,-0.202101401333702,0.0660513708761199,-0.327478778883364,-0.0498117466498676,0.00221513764872006
"Myiopsitta monachus","Aves","Psittaciformes",6.92821330285791,0.408844481740651,6.11441941568161,7.81812032709902,6.78862620990124,0.42225209408439,6.05404103503023,7.65453910764431,0.0191923330341388,0.0777237803682574,-0.125663946388909,0.176684627052384,0.804962398969776
"Loxia curvirostra","Aves","Passeriformes",2.53215936220763,0.229607798729465,2.10007176050221,3.01328780900371,2.35532116709517,0.219364354263028,1.94112544211772,2.78626521872941,0.0653628485623562,0.114939477676198,-0.185914189226477,0.284052257323191,0.569578836179449
"Pyrrhula pyrrhula","Aves","Passeriformes",2.6921328654021,0.288961519112768,2.19089410252664,3.30263313161723,2.71175034286996,0.22482014629726,2.30564214709486,3.14995718314458,-0.00867648640286983,0.118866893064868,-0.220267552190393,0.218552542780554,0.941811451676935
"Serinus canaria","Aves","Passeriformes",4.4081796582225,0.215260074731774,4.00635570101001,4.86613832609481,5.4779418039407,0.331867327661802,4.90810813506396,6.26477068493248,-0.192412190244543,0.0618870858408127,-0.318999342894244,-0.0626144599647006,0.00187667925412027
"Ptilinopus magnificus","Aves","Columbiformes",6.94466461891195,0.707076390047108,5.66226399582764,8.51214452610362,8.62395634639521,0.798709947971012,7.0496590085619,10.3257295529503,-0.187995886247904,0.111413605945214,-0.389274151252019,0.0404066472097201,0.0915323839120457
"Platalea leucorodia","Aves","Pelecaniformes",13.2596909427034,0.535418954804705,12.3471034420349,14.4200637436731,13.730246628885,0.577561779429503,12.6957769770381,14.7761408891195,-0.0331275455853222,0.0555000636478538,-0.136578739064116,0.0755954010552234,0.550579469614365
"Egretta thula","Aves","Pelecaniformes",10.9178962100398,1.2722534561342,8.63202005021253,13.7357995714941,7.5804760660108,1.16802282794256,5.5314802036934,9.99594013010092,0.295932614050391,0.139750373655486,-0.0225119478764248,0.527253988553398,0.0342106426659487
"Casmerodius albus","Aves","Pelecaniformes",8.5247062771872,1.02836820927187,6.63324478999932,10.5400173009253,5.86534569461793,1.19340058060196,3.66540581672607,8.32607215054899,0.302306313735703,0.165526086293446,-0.0591895130508101,0.599488342504511,0.0677996080569084
"Serinus mozambicus","Aves","Passeriformes",4.70966798462799,0.491195098889894,3.82176536395057,5.68413987069172,5.40987195610087,0.588015669023997,4.36324586583467,6.70867759424859,-0.121060942772811,0.128582857472124,-0.351877683105883,0.142220644416583,0.346447962410601
"Carduelis cucullata","Aves","Passeriformes",3.17606460424368,0.281767500661917,2.67501922223983,3.78718706329696,3.3920918265366,0.302048516054205,2.82800730347756,4.01225562883185,-0.0591776373353217,0.111506231699601,-0.262570270074343,0.151283643591265,0.595618729023472
"Passer luteus","Aves","Passeriformes",5.14869687644436,0.487876629376755,4.23519798421357,6.10517633579856,5.55905169481133,0.499798504285274,4.67813204015282,6.57583185635936,-0.0689059597949823,0.116809644613049,-0.295455143545076,0.152188777399414,0.555257978602808
"Pitta guajana","Aves","Passeriformes",2.01543878718823,0.35271644823585,1.3847633085866,2.76065252584548,2.48702707633863,0.380513049667474,1.84831270313965,3.33224724099353,-0.175987598168461,0.177957233007263,-0.487356083530511,0.194222619597583,0.322696424282765
